Gene,logFC,padj,p_value
VIPR1,-1.2061457,0.9968512,3.06E-01
ALS2CL,-0.2113324,0.9968512,8.78E-01
NBEAL2,1.0067577,0.9968512,4.21E-01
DHX30,-1.0632998,0.9968512,3.18E-01
COL7A1,0.0345457,0.9968512,9.72E-01
BSN,-0.7360813,0.9968512,4.59E-01
DNAH1,-0.0887751,0.9968512,8.90E-01
STAB1,0.0692638,0.9968512,9.46E-01
ZBTB20,-0.8045515,0.9968512,3.99E-01
PLXNA1,0.9120221,0.9968512,2.46E-01
MBNL1,0.6288607,0.9968512,6.10E-01
SMC4,2.5627432,0.9968512,2.52E-01
LPP,0.0889421,0.9968512,9.04E-01
MUC4,-0.6631365,0.9968512,2.78E-01
CTBP1,-0.0881645,0.9968512,9.22E-01
UVSSA,-0.06548,0.9968512,9.55E-01
HTT,-0.2084127,0.9968512,7.97E-01
STOX2,0.2240347,0.9968512,8.67E-01
CEP72,-0.5051483,0.9968512,5.92E-01
TPPP,-0.0527402,0.9968512,9.53E-01
ZDHHC11B,-0.2498289,0.9968512,7.67E-01
ZDHHC11,-0.3813771,0.9968512,7.41E-01
TRIO,-0.3808028,0.9968512,6.58E-01
LOC646652,-0.9957057,0.9968512,3.39E-01
ARSB,-0.6933902,0.9968512,5.30E-01
ADGRV1,-0.2077274,0.9968512,8.14E-01
TCF7,0.2991719,0.9968512,8.11E-01
PPARGC1B,-0.7746288,0.9968512,4.75E-01
LARP1,-0.5432251,0.9968512,6.08E-01
TENM2,-0.9968432,0.9968512,3.12E-01
CDHR2,0.588508,0.9968512,5.99E-01
TBC1D9B,-1.6860544,0.9968512,2.11E-01
FLT4,1.1295603,0.9968512,3.62E-01
MGAT1,-0.4964932,0.9968512,7.22E-01
DUSP22,-1.4608725,0.9968512,1.81E-01
HLA-E,0.7355578,0.9968512,5.61E-01
C2,0.1336899,0.9968512,9.10E-01
C4A,-0.1909133,0.9968512,8.42E-01
TNXB,-0.7217606,0.9968512,2.33E-01
NOTCH4,0.0136878,0.9968512,9.91E-01
COL11A2,-0.683795,0.9968512,4.59E-01
ITPR3,-0.0208763,0.9968512,9.78E-01
MDGA1,-0.0271463,0.9968512,9.76E-01
KIF6,-0.300507,0.9968512,7.84E-01
DST,0.2192623,0.9968512,7.78E-01
MDN1,0.0172755,0.9968512,9.83E-01
UTRN,1.1159954,0.9968512,3.04E-01
SYNE1,0.1489536,0.9968512,8.82E-01
SOD2,0.255038,0.9968512,8.30E-01
IGF2R,-0.4573006,0.9968512,6.51E-01
WDR27,-0.7172182,0.9968512,4.98E-01
INTS1,1.1032053,0.9968512,3.56E-01
AMZ1,-0.3023391,0.9968512,7.62E-01
SDK1,-0.0177619,0.9968512,9.85E-01
TNRC18,1.3505527,0.9968512,1.90E-01
ADCY1,-0.2052563,0.9968512,8.37E-01
TNS3,-0.3201633,0.9968512,6.97E-01
ABCA13,-0.3215279,0.9968512,7.62E-01
AUTS2,-0.1775974,0.9968512,8.80E-01
ZAN,-0.4973286,0.9968512,4.74E-01
MUC3A,-0.3294418,0.9968512,7.44E-01
MUC12,-0.1772955,0.9968512,7.93E-01
CUX1,0.3640374,0.9968512,7.67E-01
RASA4B,0.3126415,0.9968512,7.21E-01
RASA4,-0.0904964,0.9968512,8.93E-01
IMMP2L,-0.1953928,0.9968512,8.40E-01
FLNC,-0.5388764,0.9968512,5.57E-01
KCP,-0.0292179,0.9968512,9.66E-01
HIPK2,-0.8307911,0.9968512,3.56E-01
SSPOP,-0.1360443,0.9968512,8.34E-01
PTPRN2,-0.1061487,0.9968512,9.02E-01
ERICH1,-0.2167055,0.9968512,7.50E-01
LZTS1,-0.792525,0.9968512,5.12E-01
ADRA1A,-1.2440844,0.9968512,2.71E-01
ANK1,-0.0863154,0.9968512,9.29E-01
LOC101929601,-0.2249347,0.9968512,6.71E-01
LOC101929627,-0.5658487,0.9968512,3.49E-01
ZFAT,-0.3346481,0.9968512,6.57E-01
AGO2,0.2849974,0.9968512,7.58E-01
TSNARE1,0.9570385,0.9968512,3.25E-01
ADGRB1,0.1654835,0.9968512,8.50E-01
EPPK1,0.3949643,0.9968512,7.49E-01
PLEC,0.7509135,0.9968512,4.16E-01
MROH1,-0.7551258,0.9968512,4.59E-01
ADAMTSL1,-0.6659587,0.9968512,4.33E-01
UNC13B,0.2586322,0.9968512,8.31E-01
APBA1,-1.6592081,0.9968512,2.08E-01
WNK2,-0.8865014,0.9968512,3.29E-01
ZNF618,-0.103311,0.9968512,9.24E-01
COL27A1,-0.5312039,0.9968512,5.61E-01
AKNA,0.4164786,0.9968512,7.31E-01
MIGA2,-0.0965407,0.9968512,9.02E-01
HMCN2,0.0497285,0.9968512,9.25E-01
LAMC3,-0.2958341,0.9968512,7.78E-01
PRRC2B,0.0703732,0.9968512,9.47E-01
RXRA,-0.9012788,0.9968512,4.38E-01
COL5A1,-0.483106,0.9968512,4.55E-01
KCNT1,0.7217132,0.9968512,4.01E-01
NOTCH1,0.1259496,0.9968512,8.82E-01
ABCA2,0.5196984,0.9968512,5.23E-01
PNPLA7,-0.7780105,0.9968512,4.98E-01
EHMT1,-1.0416838,0.9968512,3.64E-01
DIP2C,0.1126355,0.9968512,9.22E-01
TASOR2,-0.5551527,0.9968512,6.08E-01
BEND7,-1.0189029,0.9968512,4.13E-01
FRMD4A,-0.4796893,0.9968512,5.72E-01
ANKRD26,-1.3021142,0.9968512,2.45E-01
WDFY4,-1.1000015,0.9968512,2.84E-01
CDH23,-0.4139986,0.9968512,5.22E-01
KCNMA1,-0.6175964,0.9968512,5.29E-01
DLG5,-0.3010165,0.9968512,7.95E-01
SLIT1,-0.2201503,0.9968512,8.50E-01
PYROXD2,-0.5044406,0.9968512,6.48E-01
COL17A1,-0.3449012,0.9968512,7.95E-01
DMBT1,-0.2273642,0.9968512,8.54E-01
LINC02641,-0.3917535,0.9968512,7.31E-01
DOCK1,0.2356843,0.9968512,7.10E-01
CFAP46,0.0850431,0.9968512,9.36E-01
KNDC1,1.0048892,0.9968512,2.81E-01
DEAF1,0.2017106,0.9968512,8.54E-01
GATD1,-0.4091256,0.9968512,7.08E-01
MUC6,-0.7742621,0.9968512,3.60E-01
MUC5AC,-0.4447184,0.9968512,5.99E-01
MUC5B,-0.7918437,0.9968512,3.44E-01
KCNQ1OT1,0.1810277,0.9968512,7.68E-01
OSBPL5,-0.2074643,0.9968512,8.32E-01
DNHD1,0.6750607,0.9968512,4.42E-01
OTOG,0.9803895,0.9968512,3.01E-01
NAV2,-0.5754777,0.9968512,5.73E-01
LRP4,-1.2691103,0.9968512,2.85E-01
SYT7,-0.1593365,0.9968512,8.41E-01
DAGLA,-0.1450541,0.9968512,9.15E-01
MYRF,1.2099482,0.9968512,2.55E-01
NEAT1,0.6446645,0.9968512,4.87E-01
PCNX3,0.227415,0.9968512,8.33E-01
SPTBN2,-0.4188155,0.9968512,6.81E-01
ARAP1,-0.1698191,0.9968512,8.68E-01
P2RY2,-0.3979031,0.9968512,7.44E-01
MYO7A,-0.0668885,0.9968512,9.20E-01
TENM4,0.3079708,0.9968512,7.77E-01
FAT3,-0.4045543,0.9968512,7.08E-01
DSCAML1,-0.6196401,0.9968512,4.66E-01
NECTIN1,-0.630635,0.9968512,6.32E-01
IGSF9B,-0.9156597,0.9968512,2.16E-01
WNK1,1.1231802,0.9968512,2.96E-01
CACNA1C,0.1265678,0.9968512,8.83E-01
GRIN2B,-0.042645,0.9968512,9.69E-01
MUC19,-0.9940957,0.9968512,3.11E-01
KMT2D,-0.262022,0.9968512,7.91E-01
ANKRD52,-0.4622628,0.9968512,7.20E-01
LRP1,-0.6537559,0.9968512,3.02E-01
ACACB,0.904185,0.9968512,2.94E-01
CUX2,-1.0281264,0.9968512,3.58E-01
HECTD4,0.1551195,0.9968512,8.62E-01
TPCN1,-1.0601205,0.9968512,4.07E-01
NOS1,-0.7322072,0.9968512,5.00E-01
KSR2,-0.1270306,0.9968512,9.09E-01
GCN1,0.3429102,0.9968512,6.67E-01
PITPNM2,-0.1431664,0.9968512,8.93E-01
NCOR2,-0.2075676,0.9968512,8.03E-01
ULK1,0.0176661,0.9968512,9.88E-01
EP400,0.733283,0.9968512,4.72E-01
MYCBP2,1.0386913,0.9968512,3.01E-01
MYH6,0.944723,0.9968512,3.20E-01
ZFHX2,-1.3487534,0.9968512,2.03E-01
PELI2,0.1798171,0.9968512,8.53E-01
SYNE2,-0.5547651,0.9968512,5.15E-01
SPTB,0.2320581,0.9968512,8.06E-01
MAP3K9,-0.5218455,0.9968512,6.12E-01
RGS6,-0.0646933,0.9968512,9.26E-01
LTBP2,0.6800845,0.9968512,5.68E-01
FLRT2,-1.0695475,0.9968512,2.44E-01
ZC3H14,-0.5087062,0.9968512,6.67E-01
CCDC88C,-0.8214425,0.9968512,4.49E-01
SYNE3,0.1669743,0.9968512,8.89E-01
CCDC85C,-0.4088859,0.9968512,7.25E-01
BEGAIN,0.065194,0.9968512,9.73E-01
MEG3,-0.5525197,0.9968512,6.21E-01
DYNC1H1,-0.2072456,0.9968512,8.12E-01
AHNAK2,0.0474521,0.9968512,9.70E-01
PACS2,-0.2574297,0.9968512,8.04E-01
SNHG14,0.5773504,0.9968512,4.01E-01
RYR3,-1.0584558,0.9968512,2.25E-01
RPAP1,-0.7987301,0.9968512,4.85E-01
SPTBN5,-0.9484686,0.9968512,2.45E-01
STARD9,0.0055959,0.9968512,9.96E-01
GNB5,0.2249773,0.9968512,8.17E-01
TLN2,-0.7215373,0.9968512,5.33E-01
HERC1,0.8707062,0.9968512,3.97E-01
UBAP1L,0.1987619,0.9968512,8.27E-01
ITGA11,-1.0467376,0.9968512,3.11E-01
AKAP13,-0.94914,0.9968512,3.01E-01
NTRK3,0.8022022,0.9968512,2.22E-01
LRRK1,-0.1393368,0.9968512,8.66E-01
LMF1,-0.0303466,0.9968512,9.70E-01
CACNA1H,-0.8676741,0.9968512,3.80E-01
IFT140,0.4965538,0.9968512,6.05E-01
MAPK8IP3,-0.9500181,0.9968512,2.45E-01
TSC2,-1.0570538,0.9968512,2.41E-01
PKD1,0.8470607,0.9968512,3.65E-01
SRRM2,0.4162505,0.9968512,5.65E-01
CIITA,0.0624062,0.9968512,9.46E-01
LOC400499,0.1824361,0.9968512,8.40E-01
SNX29,0.2515002,0.9968512,7.86E-01
PKD1P3-NPIPA1,0.0414621,0.9968512,9.61E-01
PKD1P1,0.2541759,0.9968512,7.21E-01
PKD1P4-NPIPA8,0.3239173,0.9968512,6.93E-01
PKD1P5-LOC105376752,0.8859764,0.9968512,3.04E-01
NPIPB5,-1.0939232,0.9968512,1.85E-01
SRCAP,-0.3481674,0.9968512,7.00E-01
NKD1,-0.0860614,0.9968512,9.31E-01
NLRC5,-0.4528582,0.9968512,6.33E-01
VAC14,-0.6242614,0.9968512,5.63E-01
HYDIN,0.3367879,0.9968512,6.57E-01
ZFHX3,-1.0657483,0.9968512,3.70E-01
MAF,-0.6863691,0.9968512,4.31E-01
ZNF469,0.6016368,0.9968512,6.24E-01
PIEZO1,0.2859984,0.9968512,8.11E-01
ACSF3,-0.3259529,0.9968512,7.09E-01
ANKRD11,0.969153,0.9968512,3.22E-01
RPL13,0.3134228,0.9968512,8.19E-01
ABR,0.272091,0.9968512,8.01E-01
SMG6,-0.9389596,0.9968512,4.04E-01
ATP2A3,-0.1831723,0.9968512,8.48E-01
POLR2A,0.5774108,0.9968512,5.94E-01
DNAH2,0.2684083,0.9968512,7.74E-01
CHD3,0.1444941,0.9968512,8.95E-01
DNAH9,-0.8103569,0.9968512,5.00E-01
MPRIP,0.2905349,0.9968512,7.39E-01
MYO15A,-0.3426261,0.9968512,6.87E-01
MYO18A,0.7703977,0.9968512,4.20E-01
SRCIN1,-0.5940704,0.9968512,4.95E-01
LOC105371822,-0.7492741,0.9968512,5.30E-01
MSI2,-0.1589965,0.9968512,8.92E-01
TANC2,0.0847488,0.9968512,9.22E-01
MYO15B,-0.1451053,0.9968512,8.92E-01
ITGB4,0.7979401,0.9968512,3.55E-01
TMC8,0.6719862,0.9968512,4.49E-01
DNAH17,0.5229681,0.9968512,6.26E-01
BAHCC1,-0.1624427,0.9968512,8.50E-01
FASN,0.2881402,0.9968512,7.16E-01
CCDC57,0.0289083,0.9968512,9.72E-01
CSNK1D,0.0767801,0.9968512,9.57E-01
TBCD,0.0402693,0.9968512,9.56E-01
LDLRAD4,-0.4111395,0.9968512,6.33E-01
ASXL3,-0.4217149,0.9968512,6.73E-01
SETBP1,-0.1018717,0.9968512,9.28E-01
LOXHD1,-0.5846166,0.9968512,5.17E-01
MAPK4,0.075428,0.9968512,9.36E-01
NEDD4L,-1.0520037,0.9968512,3.24E-01
MBP,-0.4368877,0.9968512,5.24E-01
MIER2,-0.2170521,0.9968512,8.72E-01
ARHGAP45,1.4504433,0.9968512,3.03E-01
PIP5K1C,-0.5661693,0.9968512,5.82E-01
ANKRD24,-0.5211076,0.9968512,5.61E-01
PTPRS,-0.5851535,0.9968512,5.91E-01
FBN3,-0.2291914,0.9968512,8.04E-01
MUC16,-0.665859,0.9968512,4.64E-01
COL5A3,-0.820397,0.9968512,3.49E-01
MAST1,-1.7561449,0.9968512,1.93E-01
ADGRL1,-0.7509199,0.9968512,4.80E-01
WIZ,-0.2265875,0.9968512,8.27E-01
AP1M1,-0.2070461,0.9968512,8.16E-01
CPAMD8,0.6758307,0.9968512,4.42E-01
UNC13A,-1.0446396,0.9968512,2.55E-01
MAST3,0.0600681,0.9968512,9.55E-01
ZNF536,-0.2788272,0.9968512,7.92E-01
KMT2B,-0.3902189,0.9968512,7.04E-01
SIPA1L3,0.2206026,0.9968512,8.18E-01
RYR1,-0.0324052,0.9968512,9.63E-01
FCGBP,-0.5450887,0.9968512,5.24E-01
AKT2,0.0038674,0.9968512,9.97E-01
CIC,-0.5370165,0.9968512,5.84E-01
MEGF8,0.4389432,0.9968512,5.18E-01
BICRA,-0.7409364,0.9968512,4.63E-01
EPN1,0.0367625,0.9968512,9.74E-01
NOL4L,0.1071089,0.9968512,9.20E-01
CEP250,-1.1053397,0.9968512,3.05E-01
EPB41L1,-0.5434998,0.9968512,5.34E-01
STK4,1.1712222,0.9968512,3.22E-01
SLC12A5,0.5393662,0.9968512,5.99E-01
PREX1,-0.1487514,0.9968512,8.72E-01
GNAS,0.8761657,0.9968512,3.66E-01
CDH4,-0.3016328,0.9968512,8.04E-01
LAMA5,-0.7964003,0.9968512,4.72E-01
COL20A1,-1.0270185,0.9968512,2.88E-01
KCNQ2,0.3848605,0.9968512,6.86E-01
LOC105379506,-0.3860565,0.9968512,5.33E-01
LOC107987293,-0.1583941,0.9968512,7.55E-01
CDC27P9,-0.2940685,0.9968512,6.00E-01
LOC105379508,-0.1128932,0.9968512,8.36E-01
CDC27P10,-0.3652734,0.9968512,4.89E-01
LOC105379507,-0.114746,0.9968512,8.34E-01
LOC107987294,-0.1268063,0.9968512,7.96E-01
CDC27P11,-0.5241445,0.9968512,2.98E-01
MAP3K7CL,0.458836,0.9968512,7.34E-01
URB1,0.2037335,0.9968512,8.69E-01
ITSN1,-0.5894352,0.9968512,5.33E-01
PRDM15,0.1242075,0.9968512,8.88E-01
ABCG1,0.1172616,0.9968512,9.03E-01
TRPM2,-0.7119535,0.9968512,4.31E-01
COL18A1,0.5256596,0.9968512,6.91E-01
PCNT,0.5750906,0.9968512,5.42E-01
PI4KA,0.3563963,0.9968512,6.31E-01
BCR,0.776266,0.9968512,4.58E-01
MYO18B,-0.4805604,0.9968512,6.42E-01
TTC28,-0.4444621,0.9968512,6.19E-01
TRIOBP,-0.2695141,0.9968512,7.59E-01
CACNA1I,0.0991166,0.9968512,9.28E-01
ZC3H7B,0.4648349,0.9968512,6.33E-01
CELSR1,-0.0672763,0.9968512,9.45E-01
TBC1D22A,-0.2036222,0.9968512,8.28E-01
MIR3667HG,0.0806344,0.9968512,9.40E-01
PLXNB2,1.0459989,0.9968512,3.60E-01
SBF1,1.0519124,0.9968512,2.55E-01
LOC105379549,-0.0082217,0.9968512,9.91E-01
LOC107987393,0.3422226,0.9968512,6.31E-01
LOC102724621,-0.3089577,0.9968512,5.53E-01
LOC100507412,-0.0179777,0.9968512,9.72E-01
TRNF,-0.1126187,0.9968512,9.02E-01
TRNV,0.5826707,0.9968512,5.53E-01
TRNL1,0.2761194,0.9968512,7.59E-01
ND1,0.2952375,0.9968512,7.31E-01
TRNI,0.6738265,0.9968512,4.82E-01
TRNQ,-0.9752388,0.9968512,2.07E-01
TRNM,0.7888605,0.9968512,4.03E-01
ND2,0.2571909,0.9968512,7.64E-01
TRNW,-0.8996968,0.9968512,3.07E-01
TRNA,-0.1266698,0.9968512,8.93E-01
TRNN,-0.2968874,0.9968512,7.49E-01
TRNC,-0.2365864,0.9968512,8.09E-01
TRNY,-0.0542247,0.9968512,9.55E-01
COX1,0.0462211,0.9968512,9.58E-01
TRNS1,0.3960345,0.9968512,6.81E-01
TRND,0.193145,0.9968512,8.37E-01
COX2,0.3480852,0.9968512,6.90E-01
TRNK,-0.3275948,0.9968512,7.22E-01
ATP8,-0.0557927,0.9968512,9.51E-01
ATP6,0.319001,0.9968512,7.19E-01
COX3,0.1036223,0.9968512,9.06E-01
TRNG,-0.2639329,0.9968512,7.76E-01
ND3,-0.0562737,0.9968512,9.48E-01
TRNR,0.0976827,0.9968512,9.11E-01
ND4L,0.1456872,0.9968512,8.53E-01
ND4,0.1262377,0.9968512,8.83E-01
TRNH,-0.4267524,0.9968512,6.43E-01
TRNS2,-0.0436476,0.9968512,9.63E-01
TRNL2,-0.0643322,0.9968512,9.39E-01
ND5,0.1727389,0.9968512,8.41E-01
ND6,0.3284245,0.9968512,7.02E-01
TRNE,0.1556875,0.9968512,8.68E-01
CYTB,0.1616252,0.9968512,8.59E-01
TRNT,0.3925724,0.9968512,6.71E-01
TRNP,0.053444,0.9968512,9.54E-01
DDX11L1,1.1794407,NA,3.62E-01
WASH7P,-0.20249,NA,8.47E-01
LOC100996442,-1.2987721,NA,2.96E-01
LOC729737,-0.2495507,NA,8.32E-01
DDX11L17,0.501803,NA,7.38E-01
WASH9P,-0.5748941,NA,6.44E-01
LOC107985721,-0.1493384,NA,9.16E-01
LOC112268260,-1.7128819,NA,5.88E-02
LOC100132287,-0.6917669,NA,5.23E-01
MIR12136,0.4708263,NA,6.90E-01
LOC100133331,-0.0152857,NA,9.88E-01
LINC01409,-1.5060196,NA,3.62E-01
LINC01128,2.0607139,NA,1.29E-01
LOC284600,0.5108516,NA,7.19E-01
NOC2L,-0.9779328,NA,5.26E-01
KLHL17,-0.625817,NA,6.78E-01
C1orf159,-1.6011075,NA,3.02E-01
TTLL10-AS1,0.6553013,NA,7.15E-01
TTLL10,0.6906242,NA,6.01E-01
TNFRSF18,-1.372272,NA,4.26E-01
SDF4,0.1439859,NA,9.18E-01
C1QTNF12,-0.2736578,NA,8.46E-01
UBE2J2,-0.2687841,NA,8.68E-01
ACAP3,-1.3189302,NA,3.42E-01
INTS11,-1.5148975,NA,3.52E-01
MXRA8,1.1201857,NA,4.42E-01
CCNL2,1.1907333,NA,3.60E-01
ATAD3C,0.7545383,NA,5.03E-01
ATAD3B,-0.4903329,NA,7.01E-01
MIB2,0.1873828,NA,8.72E-01
MMP23B,0.5622561,NA,7.54E-01
CDK11B,-1.2196773,NA,3.03E-01
SLC35E2B,0.0702103,NA,9.63E-01
CDK11A,0.8442901,NA,5.68E-01
NADK,0.0171702,NA,9.91E-01
CALML6,-0.6440811,NA,6.77E-01
GABRD,-0.3011697,NA,8.65E-01
PRKCZ,1.2213207,NA,3.49E-01
FAAP20,1.7118798,NA,3.35E-01
SKI,-0.0519588,NA,9.64E-01
